system   D            wsystem.c:583  maybe_parent_dir                 [   0.00042] Also searching C:\Users\Jay Jay\Downloads\ALLEGROOP v4.9\
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.57689] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.57690] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.57690] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.57731] added dtor for object 04BA85E8, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.57790] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.57792] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.57937] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.57939] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58273] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58274] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58275] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58276] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58277] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58277] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58278] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58279] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58280] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.58281] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.58281] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.58282] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.58283] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.58321] added dtor for object 032600B0, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58483] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58485] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58781] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58783] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59709] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59711] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59712] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59712] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59713] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59714] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59715] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59715] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.59716] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.59717] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.59718] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.59718] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.59719] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.59787] added dtor for object 04BAB670, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.59875] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.59876] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.60120] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.60121] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60777] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60779] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60779] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60780] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60781] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60781] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60782] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60783] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.60783] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.60784] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.60785] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.60786] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.60787] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.60874] added dtor for object 04D9DDA8, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.61162] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.61164] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61985] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61987] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61988] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61988] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61989] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61990] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61990] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61991] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.61992] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.61993] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.61993] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.61994] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.61995] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.62122] added dtor for object 04BAD950, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.62434] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.62436] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.63622] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.63625] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67346] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67348] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67349] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67350] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67350] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67351] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67352] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67353] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67353] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.67354] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.67355] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.67356] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.67356] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.67446] added dtor for object 04BA9A20, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.67658] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.67661] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68660] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68662] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68663] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68664] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68665] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68665] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68666] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68667] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.68667] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.68668] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.68669] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.68670] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.68670] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.68762] added dtor for object 04C0E3B0, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.69000] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.69002] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69960] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69961] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69962] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69963] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69963] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69964] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69965] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69966] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.69966] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.69967] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.69968] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.69969] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.69969] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.70035] added dtor for object 04BC2238, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.70184] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.70186] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.70539] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.70541] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71543] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71544] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71545] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71546] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71547] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71548] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71548] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71549] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.71550] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.71550] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.71551] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.71552] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.71553] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.71623] added dtor for object 04BB4300, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.71750] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.71752] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72366] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72367] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72367] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72368] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72369] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72369] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72370] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.72371] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.72372] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.72372] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.72373] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.72374] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.72457] added dtor for object 03447EB0, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.72720] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.72722] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73662] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73664] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73665] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73665] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73666] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73667] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.73669] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.73670] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.73670] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.73671] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.73672] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.73762] added dtor for object 04BB3D80, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.74011] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.74013] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74973] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74975] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74977] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74978] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74979] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74979] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74980] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.74981] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.74981] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.74982] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.74983] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.75084] added dtor for object 04DB8BE0, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.75367] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.75369] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76343] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76347] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76348] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76348] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76349] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76350] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76350] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76351] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.76352] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.76353] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.76353] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.76354] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.76355] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.76538] added dtor for object 04DE6768, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.77452] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.77454] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79166] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79168] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79169] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79170] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79171] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79172] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79172] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79173] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.79174] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.79174] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.79175] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.79176] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.79177] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.79405] added dtor for object 04E40A00, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.80229] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.80232] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82647] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82649] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82650] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82651] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82651] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82652] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82653] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82653] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82654] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.82655] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.82656] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.82656] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.82657] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.82919] added dtor for object 04C07898, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.83849] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.83852] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86643] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86645] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86646] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86647] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86648] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86649] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86651] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86652] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.86652] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.86654] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.86659] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.86661] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.86661] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86862] added dtor for object 04E9DBC0, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.87533] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.87537] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90140] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90142] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90142] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90143] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90144] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90144] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90145] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90146] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.90146] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.90147] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.90148] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.90149] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.90149] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.90308] added dtor for object 04C0AF08, func 5F302590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.90693] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.90695] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92442] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92444] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92445] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92446] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92446] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92447] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92448] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92448] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.92449] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.92450] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.92450] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.92451] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.92452] Chose bitmap format 9
